attack,ticker,date,case_id_or_dir,lexical,js_bigram,finbert,verdict
a1,BIIB,2025-12-02,avon_fake_tender_2015,0.4068659466654076,0.6767364077195809,0.7633893489837646,borderline
a1,BIIB,2025-12-02,craig_twitter_2015,0.32959394172348166,0.6753558491275093,0.5751569271087646,anomalous
a1,HOOD,2026-01-13,avon_fake_tender_2015,0.4001582789151431,0.6680849683789875,0.8029451370239258,borderline
a1,HOOD,2026-01-13,craig_twitter_2015,0.346386699245638,0.671773739464724,0.5627775713801384,anomalous
a1,NVDA,2026-01-20,avon_fake_tender_2015,0.3472925461498776,0.6657369702270407,0.7768167853355408,anomalous
a1,NVDA,2026-01-20,craig_twitter_2015,0.3589173519786364,0.6746637787073717,0.5747648105025291,borderline
a1,PLTR,2025-09-23,avon_fake_tender_2015,0.3786776863507137,0.6758099558014177,0.7489046007394791,borderline
a1,PLTR,2025-09-23,craig_twitter_2015,0.2623360515726709,0.670756122578685,0.5407036617398262,anomalous
a1,PLTR,2025-12-09,avon_fake_tender_2015,0.37391023704820714,0.6811349311185797,0.758765310049057,borderline
a1,PLTR,2025-12-09,craig_twitter_2015,0.3992801403860598,0.6772624167458149,0.5855379998683929,borderline
a1,SNOW,2025-10-14,avon_fake_tender_2015,0.30195170781191455,0.6731451231098144,0.7391949445009232,anomalous
a1,SNOW,2025-12-16,avon_fake_tender_2015,0.38561982658548855,0.6781646992965781,0.7710410356521606,borderline
a1,SNOW,2025-12-16,craig_twitter_2015,0.3672745032346598,0.683216568093228,0.5814957320690155,borderline
a2,BIIB,2025-12-02,bullish,0.002880511477476521,0.6825072241967275,0.8806212544441223,anomalous
a2,HOOD,2026-01-13,bullish,0.003569180289918141,0.6765452206686895,0.9064618647098541,anomalous
a2,NVDA,2026-01-20,bullish,0.00025749308703621815,0.6824493994640065,0.8943768441677094,anomalous
a2,PLTR,2025-09-23,bullish,2.0459811135711602e-05,0.6812101313617163,0.887087494134903,anomalous
a2,PLTR,2025-12-09,bullish,0.00010274472397094808,0.6822729239343186,0.8810611665248871,anomalous
a2,SNOW,2025-10-14,bullish,0.000675354283984062,0.684221923893344,0.8929727077484131,anomalous
a2,SNOW,2025-12-16,bullish,0.003159601804526566,0.6860389194970706,0.8863586783409119,anomalous
a2v2,BIIB,2025-12-02,bearish,0.11239410020390785,0.6703337986587194,0.6352933794260025,anomalous
a2v2,BIIB,2025-12-02,bullish,0.10393566712593467,0.6708091370737218,0.7906454205513,anomalous
a2v2,HOOD,2026-01-13,bearish,0.1090514676513563,0.675631147405416,0.6247394308447838,anomalous
a2v2,HOOD,2026-01-13,bullish,0.10067704533991091,0.6737747290849252,0.8058150112628937,anomalous
a2v2,NVDA,2026-01-20,bearish,0.10005625532415129,0.678604442093293,0.6215548813343048,anomalous
a2v2,NVDA,2026-01-20,bullish,0.092250862698897,0.6664555444179665,0.7634814381599426,anomalous
a2v2,PLTR,2025-12-09,bearish,0.11099057558209209,0.6740264470225239,0.5737649500370026,anomalous
a2v2,PLTR,2025-12-09,bullish,0.0781848961301121,0.6672773181966832,0.7928487062454224,anomalous
a2v2,PLTR,2025-12-09,bullish,0.11149646037017324,0.6709973112257881,0.8478251099586487,anomalous
a2v2,PLTR,2025-12-09,bullish,0.0615988809826058,0.6781780758561258,0.7374444901943207,anomalous
a2v2,SNOW,2025-12-16,bearish,0.09242154957399813,0.6704352781217902,0.5584603063762188,anomalous
a2v2,SNOW,2025-12-16,bullish,0.09260514181723842,0.6762929835274798,0.8025688529014587,anomalous
