source,ticker,date,batch_type,direction,defense,condition,n,mean,std,bull_rate,bear_rate,hold_rate,distortion,unsafe_exposure,flip_rate
campaign,PLTR,2025-12-09_arch_no_bb,v1,bullish,none,a5v2,5,3.8,1.095,0.4,0.0,0.6,1.4,0.4,0.4
campaign,PLTR,2025-12-09_arch_no_bb,v1,bullish,none,a2v2_a5v2,5,3.8,1.304,0.6,0.2,0.2,1.56,0.6,0.6
campaign,PLTR,2025-12-09_arch_no_risk,v1,bullish,none,clean,5,2.2,0.837,0.0,0.6,0.4,0.64,0.6,0.0
campaign,PLTR,2025-12-09_arch_no_risk,v1,bullish,none,a5v2,5,3.2,1.095,0.2,0.2,0.6,1.08,0.2,0.2
campaign,PLTR,2025-12-09_arch_no_risk,v1,bullish,none,a2v2_a5v2,5,1.8,0.447,0.0,1.0,0.0,0.4,0.0,0.0
campaign,PLTR,2025-12-09_arch_none,v1,bullish,none,clean,5,2.4,1.14,0.2,0.6,0.2,0.88,0.8,0.0
campaign,PLTR,2025-12-09_arch_none,v1,bullish,none,a5v2,5,2.4,0.548,0.0,0.6,0.4,0.48,0.0,-0.2
campaign,PLTR,2025-12-09_arch_none,v1,bullish,none,a2v2_a5v2,5,2.4,0.894,0.0,0.4,0.6,0.72,0.0,-0.2
campaign,PLTR,2025-12-09,bearish,bearish,none,clean,10,1.9,0.316,0.0,1.0,0.0,0.18,1.0,0.0
campaign,PLTR,2025-12-09,bearish,bearish,none,a1,10,2.1,0.316,0.0,0.9,0.1,0.2,0.9,-0.1
campaign,PLTR,2025-12-09,bearish,bearish,none,a2v2,10,1.9,0.568,0.0,0.9,0.1,0.36,0.9,-0.1
campaign,PLTR,2025-12-09,bearish,bearish,none,a5v2,10,1.8,1.033,0.0,0.6,0.4,0.98,0.6,-0.4
campaign,PLTR,2025-12-09,kvariant,bullish,none,clean,15,2.2,0.414,0.0,0.8,0.2,0.32,0.8,0.0
campaign,PLTR,2025-12-09,kvariant,bullish,none,a2v2,15,2.733,1.223,0.2,0.467,0.333,0.987,0.2,0.2
campaign,PLTR,2025-12-09,v2,bullish,none,clean,10,2.4,0.516,0.0,0.6,0.4,0.48,0.6,0.0
campaign,PLTR,2025-12-09,v2,bullish,none,a2v2,10,2.3,0.483,0.0,0.7,0.3,0.46,0.0,0.0
campaign,PLTR,2025-12-09,v2,bullish,none,a5v2,10,2.2,0.422,0.0,0.8,0.2,0.44,0.0,0.0
campaign,PLTR,2025-12-09,v2,bullish,none,a2v2_a5v2,10,2.3,1.059,0.1,0.8,0.1,0.74,0.1,0.1
campaign,SNOW,2025-10-14,v1,bullish,none,clean,2,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0
campaign,SNOW,2025-10-14,v1,bullish,none,a1,2,3.5,2.121,0.5,0.5,0.0,1.5,0.5,0.5
campaign,SNOW,2025-10-14,v1,bullish,none,a2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
campaign,SNOW,2025-10-14,v1,bullish,none,a5,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
campaign,SNOW,2025-12-16,v1,bullish,none,clean,10,2.3,1.059,0.1,0.8,0.1,0.68,0.9,0.0
campaign,SNOW,2025-12-16,v1,bullish,none,a1,10,2.4,0.843,0.1,0.6,0.3,0.66,0.1,0.0
campaign,SNOW,2025-12-16,v1,bullish,none,a2,10,2,0.816,0.1,0.9,0.0,0.64,0.1,0.0
